Accession	Submission Date	Title	Number of Raw Files
PXD016554	2019-12-03	An experimentally generated peptide database increases the sensitivity in XL-MS of complex samples	230
PXD006660	2017-06-14	Capturing protein communities by structural proteomics in a thermophilic eukaryote	226
PXD051075	2024-03-29	Conventional cell fixation improves performance of in situ crosslinking mass spectrometry while preserving cellular ultrastructure	226
PXD053814	2024-07-10	Discovery of dehydroamino acids and their crosslinks in Alzheimer's Disease	223
PXD048963	2024-01-29	Cobalamins function as allosteric activators of an Angelman syndrome-associated UBE3A/E6AP variant	222
PXD044405	2023-08-07	Identification of a direct interaction between the Fab domains of IgG antibodies and human FcRn upon IgG-FcRn complex formation	220
PXD015435	2019-09-12	Mass spectrometry study of formaldehyde cross-linking of structured proteins	211
PXD013338	2019-04-02	CAPRI RNA binding proteins and domains in Drosophila and Humans	208
PXD017695	2020-02-24	In-cell architecture of an active transcription-translation complex	207
PXD047422	2023-12-01	Structural Host Virus Interactome Profiling of Intact Infected Cells	205
PXD001692	2015-01-19	Protein Structure Determination in Biological Matrices by Mass Spectrometry and Computational Biology	204
PXD000056	2012-10-19	Cyanophora paradoxa muroplast LC-MSMS	200
PXD042599	2023-06-01	Mechanisms of site-specific methylation by a highly conserved elongation factor 1A lysine methyltransferase	193
PXD019724	2020-06-11	Expanding the cross-link coverage of a dihydrazide-based carboxyl-group specific chemical cross-linking strategy - Dataset 1: Model proteins	192
PXD013735	2019-05-07	Systematic Discovery of Deeply Conserved Plant Protein Complexes, Chlamydomonas reinhardtii, DSSO crosslinking	188
PXD016705	2019-12-11	Identifying mTOR regulated RNA binding proteins	183
PXD033107	2022-04-08	A photo-crosslink approach to identify class II SUMO binders	183
PXD031415	2022-02-03	Profiling the diversity of agonist-selective effects on the proximal proteome environment of G protein-coupled receptors	181
PXD030532	2021-12-20	Cross-linking of the Endolysosomal System Reveals Potential Flotillin Structures and Cargo	180
PXD045734	2023-09-27	Dehydroalanine and Dehydrobutyrine in Aging and Cataractous Lenses	180
PXD044625	2023-08-18	Chemoproteomic capture of RNA binding activity in living cells	178
PXD032132	2022-11-03	Cross-link assisted spatial proteomics to map sub-organelle proteomes and membrane protein topology	178
PXD042173	2024-05-02	Proteome-scale recombinant standard datasets for XL-MS	178
PXD006404	2017-04-28	Proteomics analysis of ALK signaling in neuroblastoma cells	176
PXD008550	2018-12-19	An integrated workflow for cross-linking/mass spectrometry	174
PXD005012	2016-11-24	Identifying SAM-binding proteins in D.melanogaster	174
PXD006245	2017-04-03	Fishing for SAM/SAH-binding proteins	172
PXD000490	2015-05-07	Proteomics reveals dynamic assembly of repair complexes during bypass of DNA cross-links, part 1 of 2: CHROMASS DATA	169
PXD036640	2022-09-12	Cross-linking mass spectrometry uncovers interactions between  high-density lipoproteins and the SARS-CoV-2 spike glycoprotein	158
PXD015890	2019-10-18	Proximity Labeling to Map Host-Pathogen Interactions at the Membrane of a Bacteria Containing Vacuole in Chlamydia trachomatis Infected Human Cells	157
PXD015883	2019-10-18	Proximity Labeling to Map Host-Pathogen Interactions at the Membrane of a Bacteria Containing Vacuole in Chlamydia trachomatis Infected Human Cells	157
PXD052307	2024-05-16	Ribosome-inactivation by a widely distributed class of C-tail anchored membrane proteins	156
PXD051493	2024-04-16	Chemical crosslinking of photosystem I antenna proteins	155
PXD042086	2023-05-09	Profiling ubiquitin signaling with UBIMAX reveals DNA damage- and SCFβTRCP-dependent ubiquitylation of the actin-organizing protein Dbn1	152
PXD010222	2018-06-26	Chemical crosslinking mass spectrometry reveals the conformational landscape of the activation helix of PPARγ; a model for ligand-dependent antagonism	150
PXD017382	2020-02-04	How paired PSII-LHCII supercomplexes mediate the stacking of plant thylakoid membranes unveiled by integrative structural mass-spectrometry	150
PXD020709	2020-08-03	Spatiotemporal Profiling of Cytosolic Signaling Complexes in Living Cells by Highly Selective Proximity Proteomics	149
PXD003643	2016-02-16	Blind testing cross-linking/mass spectrometry under the auspices of the 11th critical assessment of methods of protein structure prediction (CASP11)	146
PXD009284	2018-03-21	DNA repair proximity landscape analysis reveals shieldin as a key regulator of NHEJ-dependent processes	144
PXD010002	2018-06-01	Structural dynamics of the E6AP/UBE3A-E6-p53 enzyme-substrate complex	144
PXD025102	2021-03-30	Molecular characterization of a complex of Apoptosis Inducing Factor 1 (AIFM1) with cytochrome c oxidase of the mitochondrial respiratory chain	144
PXD029645	2021-11-10	The tumor suppressor Fhit in complex with the alarmone Ap3A binds to the ribosome and impedes translation	144
PXD053500	2024-06-28	Kinetic principles of chemical cross-link formation for protein-protein interactions	144
PXD018375	2021-04-13	Global mapping of Salmonella enterica-host protein-protein interactions during infection	143
PXD004009	2016-09-27	A whole proteome inventory of background photocrosslinker binding	142
PXD033067	2022-04-07	Mapping subcellular localizations of unannotated microproteins with MicroID	142
PXD014673	2019-07-19	Integrative Structural Characterization of the Human Canonical and Non-canonical Cop9 Signalosome Complexes	141
PXD000883	2016-08-09	RBDmap -  Comprehensive Identification of RNA-Binding Domains in Human Cells	141
PXD053494	2024-06-28	irCLIP-RNP reveals patterns of dynamic protein associations on RNA	141
PXD052917	2024-06-07	Proximity labelling and SILAC based proteomic approach identifies proteins at the interface of homotypic and heterotypic cancer cell interactions.	141
PXD052746	2024-05-31	Proximity labelling and SILAC based proteomic approach identifies proteins at the interface of homotypic and heterotypic cancer cell interactions.	141
PXD060134	2025-01-24	Proximity labelling and SILAC based proteomic approach identifies proteins at the interface of homotypic and heterotypic cancer cell interactions.	141
PXD012157	2018-12-21	Proteomic proximity mapping by rapamycin-dependent targeting of APEX2 to tail-anchored membrane proteins	140
PXD034118	2022-05-25	Combining redox proteomics with proximity labeling to monitor localized cysteine oxidation	140
PXD052480	2024-05-22	PhoXplex: Combining phospho-enrichable crosslinking with isobaric labelling for quantitative proteome-wide mapping of protein interfaces	139
PXD017931	2020-03-09	Integrative Structural Model of DNA-PK Synapsis	138
PXD007513	2018-04-10	Histone interaction landscapes visualized by crosslinking mass spectrometry in intact cell nuclei	137
PXD030619	2021-12-23	Mass Spectrometry Uncovers Protein Interactions and Stoichiometry of Intermediates and Sub-complexes for SNARE Complex Assembly	136
PXD031345	2022-01-30	Normal respiratory chain capacity and physiology in mice with severely reduced levels of mitochondrial respirasomes; Cross-linking of intact mitochondria	132
PXD052022	2024-05-06	Dataset used to guide the development of Scout and bechmark XL-MS search engines	132
PXD056360	2024-09-29	Structural proteomics defines a sequential priming mechanism for the progesterone receptor (XL-MS)	132
PXD027267	2021-07-13	Proxiome at the 40S ribosomal head region according to proximity labeling MS experiments	130
PXD015160	2019-08-27	Cross-linking mass spectrometry of synapses purified from mouse brain	129
PXD004583	2016-07-18	Serial co-immunoprecipitation to expand the protein interactome of the outer mitosomal membrane in Giardia lamblia	127
PXD000260	2013-05-18	Human triple negative breast cancer tissues	126
PXD054489	2024-08-01	A Nitrogen-specific Interactome Analysis Sheds Light on the Role of the SnRK1 and TOR Kinases in Plant Nitrogen Signaling part1 AP-MS and TurboID	126
PXD011036	2018-12-11	Data independent acquisition cross-linking/mass spectrometry	124
PXD050960	2024-03-25	2) Twisting Urea- to Imide-Based Mass Spectrometry-Cleavable Cross-Linkers to Embed Affinity Tags	124
PXD051378	2024-04-12	DNA-Protein Crosslinks Promote cGAS-STING-driven Premature Aging and Embryonic Lethality	124
PXD022675	2020-11-23	Extracellular whole cell cross-liking of B cells (JY)	123
PXD018771	2020-04-24	Proteome-wide cross-linking mass spectrometry of human K562 cells	122
PXD054875	2024-08-14	Lipid- and protein-directed photosensitizer proximity labeling captures the cholesterol interactome	122
PXD010796	2019-04-02	Optimized cross-linking mass spectrometry for in situ interaction proteomics	120
PXD013704	2019-05-03	Systematic Discovery of Deeply Conserved Plant Protein Complexes, DSSO-crosslinked soy (Glycine max)	120
PXD046611	2023-11-02	RAD54L2 mediates a novel mechanism to counter TOP2-DNA adducts	120
PXD040374	2023-02-24	Structural basis of activation and inhibition of the Ca2+/calmodulin-sensitive adenylyl cyclase 8 (XL-MS)	120
PXD044974	2023-08-30	The ULK1 effector BAG2 regulates autophagy initiation by modulating AMBRA1 localization	120
PXD052174	2024-05-10	Protein imbalance from aneuploidy impairs mitochondria - Dataset 4: p62 IP-MS	120
PXD005831	2017-02-01	Concerted regulation of ISWI by an autoinhibitory domain and the H4 N-terminal tail	118
PXD007220	2017-08-08	DSS Microbiota LC-MS/MS	118
PXD004236	2016-05-27	In vivo protein interaction network analysis reveals porin-localized toxin inactivation in antibiotic resistant bacteria	117
PXD038332	2023-03-08	Translation-coupled resolution of RNA-protein crosslinks	117
PXD038655	2022-12-07	K6-Linked Ubiquitylation Marks Formaldehyde-Induced RNA–Protein Crosslinks for Resolution	117
PXD011071	2019-01-30	Defining the RNA Interactome by Total RNA-Associated Protein Purification	116
PXD069512	2025-10-16	Signal Attrition in Whole Cell Crosslinking Mass Spectrometry	116
PXD010317	2018-07-05	cross-linking mass spectrometry of synaptosome	114
PXD014055	2019-11-04	Improving identification of in-organello protein-protein interactions using an affinity-enrichable, isotopically-coded, and mass spectrometry-cleavable chemical crosslinker	113
PXD031114	2022-01-20	Optimized TMT-based quantitative cross-linking mass spectrometry strategy for large-scale interactomic studies	112
PXD026605	2021-06-10	Listeria monocytogenes utilizes the ClpP1/2 proteolytic machinery for fine-tuned substrate degradation at elevated temperatures	112
PXD058191	2024-11-23	Cellular interactome dynamics during heat stress	112
PXD014675	2019-07-19	In Situ Structural Restraints from Crosslinking Mass Spectrometry in Human Mitochondria	110
PXD055280	2024-08-28	Structural proteomic analysis of folding intermediates of FLuc on the human ribosome	109
PXD057404	2024-10-31	RAB GTPase proximity interactome	109
PXD021115	2020-08-25	HspB8 controls molecular aging of FUS condensates by domain-specific protein interactions Part 2	108
PXD030601	2021-12-22	N-terminal COFRADIC on cytosolic proteins of HEK293T cells	108
PXD036884	2022-09-21	Proteome-Wide Photo-Crosslinking Enables Residue-Level Visualization of Protein Interaction Networks in vivo	108
PXD067197	2025-08-11	Molecular mechanism of co-transcriptional H3K36 methylation by SETD2	108
PXD047626	2023-12-07	ECM-Focused Proteomic Analysis of Ear Punch Regeneration in <i>Acomys cahirinus</i>	108
PXD031911	2023-03-13	Spatial, Quantitative and Functional Deconstruction of Virus and Host Protein Interactions Inside Intact Cytomegalovirus Particles	107
PXD015974	2019-10-23	The SecYEG interactome of E. coli: non-competitive binding of PpiD and YidC to the SecYEG translocon	106
PXD035433	2022-07-20	Targeted cross-linker delivery for in situ mapping of protein conformations and interactions in mitochondria	106
PXD023817	2021-01-26	Reverse-phase liquid chromatography (RPLC) in Combination with Tip-Based Strong Cation Exchange (SCX-Tip) Fractionation, ReST, an Alternative Approach for Cross-linked Peptides analysis	105
PXD048567	2024-01-15	Proteomic profiling of a biological sample (human serum) derived from the surface of the AFM chip	105
PXD028002	2021-08-18	Mapping protein interactions in the active TOM-TIM23 supercomplex	104
PXD062639	2025-04-05	Trauma clot proteomics of the insoluble protein fraction	104
PXD008100	2017-11-01	SILAC identifies LAD1 as an oncogenic filamin binder regulating actin dynamics in response to EGF and marking aggressive breast tumors	103
PXD031054	2022-01-18	Quantitative proteomics and in-cell cross-linking reveal cellular reorganisation during early neuronal differentiation of SH-SY5Y cells	102
PXD017715	2020-02-25	Long-term effects on the transcriptome and proteome in Sprague Dawley rat thyroid and plasma after internal low dose 131I exposure	101
PXD027757	2021-08-05	Mitochondrial interactome quantitation reveals structural changes in metabolic machinery in failing murine heart	101
PXD012127	2019-07-16	TEAD1-DBD-DNA interaction studied by structural MS	100
PXD029034	2022-01-11	A Membrane-Permeable and Immobilized Metal Affinity Chromatography (IMAC)-Enrichable Cross-Linking Reagent to Advance In Vivo Cross-Linking Mass Spectrometry	99
PXD045482	2023-09-19	Proximal proteins of the type I interferon signaling cascade	99
PXD051405	2024-04-12	Spatiotemporal Deciphering of Dynamic Proteome during Liquid-Liquid Phase Separation in Living Cells	99
PXD025710	2021-04-29	Characterization of the N- and C-terminal domain interface of the three main apoE isoforms	98
PXD055251	2024-08-27	Structural proteomic analysis of folding intermediates of FLuc on the human ribosome	98
PXD026066	2021-05-18	Revealing the Structural Plasticity of SARS-CoV-2 nsp7 and nsp8 Using Structural Proteomics (HDX-MS)	97
PXD004920	2016-09-12	A complimentary benzophenone cross-linking/mass spectrometry photochemistry	96
PXD008033	2018-06-13	Chromatin protein profiling during the mammalian cell cycle reveals the extent of mitotic preservation of the regulatory landscape	96
PXD029409	2021-10-28	SCAI orchestrates DNA interstrand crosslink repair downstream of FANCI-FANCD2 ubiquitylation (total proteome)	96
PXD029930	2021-11-26	Sensitive detection and structural characterisation of UV-induced cross-links in protein-ribonucleic acid complexes using stable isotope labelling and mass spectrometry	96
PXD049797	2024-02-20	Development of covalent probes to capture Legionella pneumophila effector enzymes	96
PXD023361	2021-01-04	The Cdk8 kinase module regulates Mediator-RNA polymerase II interaction	92
PXD035941	2022-08-10	Cryo-electron microscopy unravels microtubule inner protein networks reinforcing mammalian sperm flagella	92
PXD041309	2023-04-03	Deciphering lineage specification during early embryogenesis using multi-layered proteomics	92
PXD010476	2019-03-25	The natural product elegaphenone potentiates antibiotic effects against Pseudomonas aeruginosa	91
PXD040762	2023-03-10	A proximity proteomics pipeline with improved reproducibility and throughput	91
PXD051322	2024-04-10	An Optimized Miniaturized Filter Aided Sample Preparation Method for Sensitive Cross-linking Mass Spectrometry Analysis of Microscale Samples	91
PXD055476	2024-09-02	Structural proteomic analysis of folding intermediates of FLuc on the human ribosome	91
PXD019101	2020-05-12	CX-MS of DSSO-cross-linked A2M - Structural investigations of human α2-macroglobulin elucidate its native conformation and inhibitory mechanism	90
PXD032222	2022-03-11	Higher dimensional cross-linking with a tetra-reactive cross-linker	90
PXD015394	2019-09-10	A precisely positioned MED12 activation helix stimulates CDK8 kinase activity	88
PXD043976	2023-07-21	Tissue Transglutaminase 2 has higher affinity for relaxed than for stretched fibronectin fibers	88
PXD043107	2023-06-19	PARP1-dependent DNA-protein crosslink repair	88
PXD061173	2025-02-25	In vivo crosslinking and effective 2D enrichment for interactome studies of the nucleosome.	88
PXD065905	2025-07-08	A high-efficiency Azide-A-DSBSO cross-linking-MS protocol for identifying thousands of in vivo protein interactions in single day	88
PXD006816	2017-06-27	mitochondria cross-linking mass spectrometry	87
PXD029833	2021-11-20	A MULTI-DIMENSIONAL INTERACTOMICS VIEW ON THE PLANT SNRK1 KINASE COMPLEX REVEALS A KEY REGULATORY ROLE FOR THE CLASS II T6P SYNTHASE-LIKE PROTEINS – part1 AP-MS dataset	87
PXD047569	2023-12-06	The PRC1 and PRC2 proximal interactome	87
PXD059180	2024-12-23	Temporal photoproximity labeling of ligand-activated EGFR neighborhoods using MultiMap	87
PXD031227	2022-01-25	Reconstitution of 3’-processing of mammalian pre-mRNA reveals a central role of RBBP6	86
PXD029033	2021-10-11	A membrane-permeable and IMAC-enrichable crosslinking reagent for advanced in vivo crosslinking mass spectrometry	86
PXD051261	2024-04-08	AE-MS to profile SLO-human plasma protein interactome landscape; HDX-MS and XL-MS to study protein interaction and dynamics of PLG-SLO	86
PXD018383	2020-04-06	Proximal Biotinylation Based Combinatory Approach for Isolating Plasma Membrane Proteins	85
PXD011774	2018-11-21	An Mtw1 C-terminal motif is crucial for cooperative outer kinetochore assembly in budding yeast	85
PXD006131	2017-03-20	Optimizing the parameters governing the fragmentation of cross-linked peptides in a tribrid mass spectrometer	84
PXD012939	2019-03-04	Quantitative photo-crosslinking mass spectrometry reveals protein structure response to environmental changes	84
PXD024254	2021-02-19	Identification of full length wild-type and mutant huntingtin interacting proteins by crosslinking immunoprecipitation in mice brain cortex	84
PXD029252	2022-04-13	Mimicked synthetic ribosomal protein complex for benchmarking cross-linking mass spectrometry workflows	84
PXD037569	2023-06-27	Spatially resolved mapping of proteome turnover dynamics with subcellular precision	84
PXD002378	2015-06-17	Quantitative cross-linking analysis of chemoresistant HeLa cells	83
PXD035454	2022-07-20	Mapping the protein interaction network of adaptor protein complex in Arabidopsis identifies P34 as a common stability regulator	83
PXD051014	2024-03-27	Profiling the LAM family of contact-site tethers provides mechanistic insights into their regulation and function	83
PXD057705	2024-11-10	Prosit-XL: enhanced cross-linked peptide identification by accurate fragment intensity prediction to study protein-protein interactions and protein structures	82
PXD025562	2021-04-22	In-cell structures of a conserved supramolecular array at the mitochondria-cytoskeleton interface in mammalian sperm	81
PXD004692	2016-08-01	Structure of the Cohesin Loader Scc2-Scc4 and its Binding to a Folded Cohesin	80
PXD008070	2017-10-30	Repurposing human kinase inhibitors to create an antibiotic active against drug-resistant Staphylococcus aureus, persisters and biofilms	79
PXD033702	2022-05-05	Biochemical and structural insights into SARS-CoV-2 polyprotein processing by Mpro (HDX-MS pulse labeling)	79
PXD011772	2018-11-21	The RNA-binding ubiquitin ligase MKRN1 acts as a sensor for ribosome-associated quality control of poly(A)-translation	78
PXD029257	2022-07-14	Astrocyte and neuron subcompartment proteomes reveal distinct cellular and molecular mechanisms of OCD	78
PXD039626	2023-01-24	Proximity-labeling chemoproteomics defines the subcellular cysteinome and inflammation-responsive mitochondrial redoxome	78
PXD055646	2024-09-06	The Fanconi anemia pathway repairs colibactin-induced DNA interstrand cross-links	78
PXD016963	2020-02-24	Fast and highly efficient affinity enrichment of Azide-A-DSBSO cross-linked peptides.	77
PXD028063	2021-08-23	Defining proximity proteomics of Histone modifications by antibody-mediated protein A-APEX2 labeling	77
PXD043595	2023-07-07	Collagen I NTX characterization by CX-MS	77
PXD046267	2023-10-20	Structural insights into protein-RNA interactions within biomolecular condensates using UV cross-linking and mass spectrometry	76
PXD045353	2023-09-13	The type of DNA damage response after Decitabine treatment depends on the level of DNMT activity	76
PXD011806	2018-11-23	Dpf2 interactome in mouse embryonic stem cells	75
PXD024743	2021-03-15	Parallel G-quadruplexes recruit the HSV-1 transcription factor ICP4 to promote viral transcription in herpes virus-infected human cells	75
PXD041328	2023-04-04	Deciphering lineage specification during early embryogenesis using multi-layered proteomics	75
PXD006287	2017-04-11	In culture cross-linking of bacterial cells reveals large scale dynamic protein-protein interactions at the peptide level.	74
PXD023814	2021-01-26	Mapping AT1R biased signaling using proximity-labeling and proteomics identifies diverse actions of biased agonists	74
PXD033764	2022-05-08	Assesing Orthogonality of ER-HRP and cyt-APEX proximity labeling	74
PXD031381	2022-02-01	Structural requirements for photo-induced RNA-protein cross-linking	74
PXD044659	2023-08-19	Targeted RNase H-mediated Extraction of crosslinked RBPs (TREX) for deciphering the region-specific interactome of 45S rRNA	74
PXD011861	2018-12-21	Optimized fragmentation improves the identification of peptides cross-linked using MS-cleavable reagents	72
PXD022163	2020-10-26	Analysing the Mechanism of Mitochondrial Oxidation-induced Cell Death Using a Multifunctional Iridium(III) Photosensitiser	72
PXD026035	2021-05-17	Proteomics analysis of cellular nucleic acid binding proteins	72
PXD025923	2021-05-11	Human Cell Lines Interactomics Comparison	72
PXD055284	2024-08-28	DSSBU: novel cross-linker tested on bovine serum albumin and human hemoglobin	72
PXD057492	2024-11-04	Usutu virus NS4A induces autophagy and is targeted by the selective autophagy receptor p62/SQSTM1 for degradation	72
PXD002880	2015-09-09	mRNA binding -  Insights into RNA biology from an atlas of mammalian mRNA-binding proteins	71
PXD022690	2020-11-24	Enabling Photoactivated Cross-linking Mass Spectrometric Analysis of Protein Complexes by Novel MS-cleavable Cross-linkers	71
PXD003664	2016-02-19	Serial interactome capture of the human cell nucleus	68
PXD041066	2023-03-23	Quantitative proteomics identifies tumour matrisome signatures in patients with non-small cell lung cancer	68
PXD012546	2019-05-02	A Simple Cross-Linking/Mass Spectrometry Workflow to Study System-Wide Protein Interactions in Drosophila Embryos	67
PXD014957	2019-08-08	Mass spectrometry approach to identify mitochondrial poly(A) RNA interacting proteins	67
PXD020157	2020-07-02	Clinical proteomics workflow for high quality quantitative proteome and PTM analysis of biologically relevant FFPE tissue samples	67
PXD027188	2021-12-21	Reanalysis of a proteome-wide level study with MaxLynx	67
PXD033471	2022-04-27	Structure and dynamics of the essential endogenous mycobacterial polyketide synthase Pks13	67
PXD009224	2018-03-15	Chemical cross-linking enables drafting ClpXP proximity maps and taking snapshots of in vivo interaction networks	66
PXD007673	2017-09-06	Chemical cross-linking mass spectrometry for systems structural biology in mouse heart tissue.	65
PXD013969	2019-06-05	Structural proteomics based investigation of DNA binding domain (DBD) of FOXO4 transcription factor in complex with DNA binding element (DNA)	65
PXD019338	2020-05-22	NefCD4AP2 Complex Crosslinking with DSSO for Integrative Structure Determination	65
PXD051348	2024-04-11	Multi-scale photocatalytic proximity labeling reveals cell surface neighbors on and between cells	65
PXD020595	2020-07-27	Structural changes and evolution of peptides during chill storage of pork	64
PXD029592	2021-11-05	Poly(A) RNA interactome capture upon HDAC inhibition by Romidepsin	64
PXD048632	2024-01-17	MACSPI Enables Tissue-Selective Proteomic and Interactomic Analyses  in Multicellular Organisms	64
PXD021870	2020-10-07	Photo-crosslinking of SurA (p-azido-Phe) to unfolded Omps (OmpA and OmpX)	63
PXD023239	2020-12-21	The proximal proteome of 17 SARS-CoV-2 proteins links to disrupted host antiviral signaling and translation	63
PXD036744	2022-09-14	Cellular proteomic profiling using proximity labelling by TurboID-NES in microglial and neuronal cell lines.	63
PXD054728	2024-08-08	Cross-linking mass spectrometry of purified human endosomes	62
PXD026433	2021-06-02	Crosslinking mass spectrometry unveils novel interactions and structural distinctions in the model green alga Chlamydomonas reinhardtii	61
PXD047274	2023-11-27	A Photocrosslinking Probe to Capture the Substrates of Caseinolytic Protease P	61
PXD000545	2013-10-28	Photosynthetic Megacomplex in Synechosystis 6803	60
PXD026287	2021-05-26	Two zinc finger proteins with functions in m6A writing interact with HAKAI	60
PXD024399	2021-02-26	Protein neighborhood of the pseudokinase SCYL1	60
PXD027394	2021-07-19	Identification of protein-protein interactions in live cells using photoactivatable  myristate probe X10	60
PXD047979	2023-12-20	Super-resolution proximity labeling method with enhanced direct identification of biotinylation sites	60
PXD045689	2023-09-26	Deciphering the ghost proteome in ovarian cancer cells by deep proteogenomic characterization.	60
PXD050833	2024-03-20	Lysyl Oxidase Mediated Collagen Cross-linking in Pancreatic Cancer	60
PXD060106	2025-01-23	APEX2-based quantitative proteomic study of LAT and CD3z in Jurkat T cells	60
PXD013160	2019-03-20	Integrative phosphoproteome and interactome analysis of the role of Ubash3b in BCR-ABL signaling	59
PXD023487	2021-06-18	Targeted in situ cross-linking for determination of structure and interactions of SARS-CoV-2 proteins in the cellular context	59
PXD000685	2016-02-08	Virotrap: Abducting Protein Complexes from Mammalian Cells	58
PXD039606	2023-01-23	An UBX domain in UBXD1 organizes Ub binding at the C-terminus of the VCP/p97 AAA-ATPase	58
PXD049433	2024-02-16	Proximity labeling proteomics reveals Kv1.3 potassium channel immune interactors in microglia.	58
PXD010460	2018-07-17	Fam49/CYRI interacts with Rac1 and locally suppresses protrusions	57
PXD011680	2019-04-05	Intermolecular Architecture of Fibrin Clots and its Interaction INterface with Albumin	57
PXD020014	2020-10-02	"In-gel cross-linking mass spectrometry (IGX-MS) of proteins and protein complexes"	57
PXD012788	2019-05-08	Developing In Vivo Cross-linking Mass Spectrometry (XL-MS) to Decipher Protein Interaction Landscapes at the Proteome Scale	57
PXD028879	2021-10-01	Split-TurboID with Bre5 and Rps2 in Saccharomyces cerevisiae	57
PXD052745	2024-05-31	Comprehensive Dataset of Interactors for the Entire PARP Family Using TurboID Proximity Labeling	57
PXD049684	2024-02-19	Distinct interactomes of ADAR1 nuclear and cytoplasmic protein isoforms and their responses to Interferon induction	57
